primary_id,time_period,transportation_volume_saved_in_PJ,transportation_efficiency_capex,transportation_efficiency_opex
0,6,0.0,0.0,0
0,7,0.40131757974593774,353159.4701764252,0
0,8,0.8121400294263605,714683.2258951972,0
0,9,1.2348758727547555,1086690.768024185,0
0,10,1.6712311173016638,1470683.3832254643,0
0,11,2.1224051165158735,1867716.5025339688,0
0,12,2.589421742174224,2278691.133113317,0
0,13,3.0730602366049378,2704293.008212345,0
0,14,3.574054297135117,3145167.781478903,0
0,15,4.093087856859158,3601917.314036059,0
0,16,4.630981949445915,4075264.115512405,0
0,17,5.188923887929729,4566253.021378161,0
0,18,5.768297149775742,5076101.491802652,0
0,19,6.37079945670069,5606303.521896607,0
0,20,6.998158864912374,6158379.801122889,0
0,21,7.652353725931398,6734071.278819631,0
0,22,8.33555059420693,7335284.5229020985,0
0,23,9.049953227321573,7963958.840042985,0
0,24,9.797741249446847,8622012.299513226,0
0,25,10.581089944160928,9311359.150861617,0
0,26,11.402128313493858,10033872.915874595,0
0,27,12.26317927610202,10791597.762969779,0
0,28,13.16635806035025,11586395.09310822,0
0,29,14.11361469565295,12419980.932174597,0
0,30,15.106619354001149,13293825.031521011,0
0,31,16.146865941205448,14209242.028260794,0
0,32,17.236491346286815,15168112.384732397,0
0,33,18.376917173744662,16171687.112895302,0
0,34,19.569752730910665,17221382.403201386,0
0,35,20.816035022063083,18318110.819415513,0
71071,6,0.0,0.0,0
71071,7,0.40131757974593774,353159.4701764252,0
71071,8,0.8121400294263605,714683.2258951972,0
71071,9,1.2348758727547555,1086690.768024185,0
71071,10,1.6712311173016638,1470683.3832254643,0
71071,11,2.1224051165158735,1867716.5025339688,0
71071,12,2.589421742174224,2278691.133113317,0
71071,13,3.655082794737416,3216472.859368926,0
71071,14,4.57842329282992,4029012.49769033,0
71071,15,5.377558403458446,4732251.395043433,0
71071,16,6.067834650180696,5339694.492159013,0
71071,17,6.662689142482938,5863166.445384985,0
71071,18,7.173780196597104,6312926.573005451,0
71071,19,7.611386352965298,6698019.990609462,0
71071,20,7.984249832913738,7026139.852964089,0
71071,21,8.300030023132745,7304026.420356816,0
71071,22,8.565365755567703,7537521.8648995785,0
71071,23,8.785845667721894,7731544.187595267,0
71071,24,8.966094067138618,7890162.779081984,0
71071,25,9.109931680567744,8016739.878899614,0
71071,26,9.220459396594705,8114004.269003341,0
71071,27,9.30036222245404,8184318.755759556,0
71071,28,9.351649243285125,8229451.334090911,0
71071,29,9.375806067726087,8250709.3395989565,0
71071,30,9.373816888386942,8248958.861780509,0
71071,31,9.346335463214608,8224775.207628855,0
71071,32,9.29423715708726,8178928.698236789,0
71071,33,9.217781551037023,8111647.76491258,0
71071,34,9.117235507721118,8023167.246794583,0
71071,35,8.99249897332782,7913399.096528481,0
