primary_id,time_period,prod_type,capex,opex,total_usd,production
0,11,hydrogen_gasification,0,93.91851184,93.91851184,0
0,11,hydrogen_reformation,0,93.85928407,93.85928407,0
0,11,hydrogen_reformation_ccs,0,0,0,0
0,11,hydropower,0,9.754812173,9.754812173,2.907539923
0,11,natural_gas_liquefaction,0,3616.240583,3616.240583,0
0,11,nuclear,0,189.8135926,189.8135926,51.85604686
0,11,ocean,0,0,0,0
0,11,oil,0,47.71617062,47.71617062,4.924506326
0,11,solar,0,12.66238207,12.66238207,1.761706263
0,11,waste_incineration,0.791230706,3264.139123,3264.930354,0.367052997
0,11,wind,0,0,0,0
0,12,ammonia_production,0,41.25789033,41.25789033,0
0,12,biogas,0.001285521,0.026842837,0.028128358,0.001304535
0,12,biomass,0,144.7146628,144.7146628,12.23551814
0,12,coal,0,91.03601205,91.03601205,5.569015641
0,12,coal_ccs,0,0,0,0
0,12,gas,0,2880.728977,2880.728977,280.5267127
0,12,gas_ccs,0,0,0,0
0,12,geothermal,0,0,0,0
0,12,hydrogen_electrolysis,0,0,0,0
0,12,hydrogen_gasification,0,109.5027566,109.5027566,0
0,12,hydrogen_reformation,0,93.85928407,93.85928407,0
0,12,hydrogen_reformation_ccs,0,0,0,0
0,12,hydropower,0,9.583365549,9.583365549,2.967756921
0,12,natural_gas_liquefaction,0,3616.240583,3616.240583,0
0,12,nuclear,0,191.4594385,191.4594385,52.93001852
0,12,ocean,0,0,0,0
0,12,oil,0,50.00545985,50.00545985,5.02649598
0,12,solar,0,12.37317287,12.37317287,1.804657615
0,12,waste_incineration,0.813547384,3314.248676,3315.062223,0.372687825
0,12,wind,0,0,0,0
0,13,ammonia_production,0,41.25789033,41.25789033,0
0,13,biogas,0.001296314,0.027467169,0.028763484,0.001318003
0,13,biomass,0,145.0621446,145.0621446,12.38323387
0,13,coal,0,91.30400134,91.30400134,5.636248694
0,13,coal_ccs,0,0,0,0
0,13,gas,0,3207.219004,3207.219004,283.9134274
0,13,gas_ccs,0,0,0,0
0,13,geothermal,0,0,0,0
0,13,hydrogen_electrolysis,0,0,0,0
0,13,hydrogen_gasification,0,109.5273032,109.5273032,0
0,13,hydrogen_reformation,0,93.85928407,93.85928407,0
0,13,hydrogen_reformation_ccs,0,0,0,0
0,13,hydropower,0,9.406501803,9.406501803,3.003585758
0,13,natural_gas_liquefaction,0,4068.270656,4068.270656,0
0,13,nuclear,0,192.4309486,192.4309486,53.56902673
0,13,ocean,0,0,0,0
0,13,oil,0,52.48814914,52.48814914,5.087179355
0,13,solar,0,12.09056921,12.09056921,1.829361914
0,13,waste_incineration,0.831934119,3365.490739,3366.322673,0.378450004
0,13,wind,0,0,0,0
0,14,ammonia_production,0,41.25789033,41.25789033,0
0,14,biogas,0.001303622,0.028177645,0.029481266,0.001331547
0,14,biomass,755.5349288,131.5575221,887.0924509,12.59292612
0,14,coal,0,91.78681611,91.78681611,5.731690458
0,14,coal_ccs,0,0,0,0
0,14,gas,7668.775481,3076.985564,10745.76104,288.7210929
0,14,gas_ccs,0,0,0,0
0,14,geothermal,0,0,0,0
0,14,hydrogen_electrolysis,0,0,0,0
0,14,hydrogen_gasification,0,109.55222,109.55222,0
0,14,hydrogen_reformation,0,93.85928407,93.85928407,0
0,14,hydrogen_reformation_ccs,0,0,0,0
0,14,hydropower,0,9.240106049,9.240106049,3.054447163
0,14,natural_gas_liquefaction,0,4853.375519,4853.375519,0
0,14,nuclear,0,193.8423136,193.8423136,54.47614114
0,14,ocean,0,0,0,0
0,14,oil,0,54.36642078,54.36642078,5.17332342
0,14,solar,0,11.81442023,11.81442023,1.864831773
0,14,waste_incineration,0.847829143,3417.711839,3418.559668,0.384322275
0,14,wind,0,0,0,0
0,15,ammonia_production,0,56.5822496,56.5822496,0
0,15,biogas,0.00130829,0.030007925,0.031316215,0.001345139
0,15,biomass,136.7506403,138.691486,275.4421263,13.33106085
0,15,coal,0,93.47637463,93.47637463,6.067653657
0,15,coal_ccs,0,0,0,0
0,15,gas,2043.09795,3211.035797,5254.133748,305.644488
0,15,gas_ccs,0,0,0,0
0,15,geothermal,0,0,0,0
0,15,hydrogen_electrolysis,0,0,0,0
0,15,hydrogen_gasification,0,152.3908869,152.3908869,0
0,15,hydrogen_reformation,0,93.85928407,93.85928407,0
0,15,hydrogen_reformation_ccs,0,15.6423269,15.6423269,0
0,15,hydropower,0,9.129964029,9.129964029,3.23348367
0,15,natural_gas_liquefaction,0,5709.853552,5709.853552,0
0,15,nuclear,0,198.5608165,198.5608165,57.6692617
0,15,ocean,0,0,0,0
0,15,oil,0,58.07556762,58.07556762,5.476557919
0,15,solar,0,11.54457849,11.54457849,1.991798803
0,15,waste_incineration,0.861886196,3470.798767,3471.660653,0.390291909
0,15,wind,0,0,0,0
0,16,ammonia_production,0,80.15818693,80.15818693,0
0,16,biogas,0.001311821,0.03073693,0.032048751,0.001358768
0,16,biomass,179.217191,148.3847415,327.6019325,14.32102682
0,16,coal,0,72.63929018,72.63929018,6.518238251
0,16,coal_ccs,0,0,0,0
0,16,gas,1184.876444,3578.53791,4763.414355,328.3416796
0,16,gas_ccs,0,0,0,0
0,16,geothermal,0,0,0,0
0,16,hydrogen_electrolysis,0,0,0,0
0,16,hydrogen_gasification,0,210.55136,210.55136,0
0,16,hydrogen_reformation,0,93.85928407,93.85928407,0
0,16,hydrogen_reformation_ccs,0,21.61227136,21.61227136,0
0,16,hydropower,0,9.048768331,9.048768331,3.473602505
0,16,natural_gas_liquefaction,0,6713.836135,6713.836135,0
0,16,nuclear,0,204.8088845,204.8088845,61.95178709
0,16,ocean,0,0,0,0
0,16,oil,0,62.88401708,62.88401708,5.883247682
0,16,solar,0,11.28089996,11.28089996,2.16681473
0,16,waste_incineration,0.875387446,3524.71729,3525.592678,0.396355056
0,16,wind,0,0,0,0
0,17,ammonia_production,0,80.15818693,80.15818693,0
0,17,biogas,0.001316243,0.031333104,0.032649347,0.001372443
0,17,biomass,15.23810012,148.6815577,163.9196578,14.40716699
