primary_id,time_period,electricity_volume_saved_in_PJ,electricity_transportation_cost_$
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
71071,6,0.0,0.0
71071,7,0.0,0.0
71071,8,0.0,0.0
71071,9,0.0,0.0
71071,10,0.0,0.0
71071,11,0.0,0.0
71071,12,0.0,0.0
71071,13,0.0022688426370462977,1996.581520600742
71071,14,0.008708651965456116,7663.613729601382
71071,15,0.019384252735450858,17058.142407196756
71071,16,0.03436730868644089,30243.231644067982
71071,17,0.05373927659762967,47290.56340591411
71071,18,0.07759397128566548,68282.69473138562
71071,19,0.10604232130696856,93317.24275013233
71071,20,0.1392110311122572,122505.70737878632
71071,21,0.17724742554116713,155977.73447622708
71071,22,0.22032070987005525,193882.22468564863
71071,23,0.26861902644741686,236384.74327372684
71071,24,0.3223463268894875,283664.767662749
71071,25,0.381720969302874,335914.45298652916
71071,26,0.44697217680138035,393335.5155852147
71071,27,0.5183479473865678,456146.19370017963
71071,28,0.5960976643005154,524565.9445844535
71071,29,0.6804693067162599,598812.9899103087
71071,30,0.7716995409851908,679095.5960669679
71071,31,0.8700141229006242,765612.4281525493
71071,32,0.9756716172907485,858591.0232158586
71071,33,1.0888890798509365,958222.3902688242
71071,34,1.2098882776964839,1064701.6843729059
71071,35,1.3388478380884319,1178186.09751782
