primary_id,region,time_period,rail_elec_consumption_PJ,switched_to_rail_elec_PJ,rail_fuel_switch_cost_$,rail_fuel_switch_saving_$,rail_fuel_switch_net_cost_$
0,louisiana,6,0.09018340632339,0.0,0.0,0.0,0.0
0,louisiana,7,0.0926268579005625,0.0024434515771725035,1032113.9461976655,5809.819249558834,1026304.1269481067
0,louisiana,8,0.0953817588189898,0.005198352495599801,2195784.0941413557,12360.174712312602,2183423.9194290433
0,louisiana,9,0.0984507025452463,0.00826729622185629,3492105.9241120974,19657.23289966992,3472448.6912124273
0,louisiana,10,0.101790251550783,0.011606845227392998,4902731.424050802,27597.711965624603,4875133.712085178
0,louisiana,11,0.10536621684456,0.015182810521170001,6413219.164142208,36100.320404291124,6377118.843737917
0,louisiana,12,0.109163448230465,0.018980041907075,8017169.70154848,45129.0354428713,7972040.666105609
0,louisiana,13,0.11316773211909,0.022984325795699992,9708579.216103677,54650.061287693825,9653929.154815983
0,louisiana,14,0.117373079528762,0.027189673205371995,11484917.96194913,64649.157877145044,11420268.804071985
0,louisiana,15,0.121776894799545,0.03159348847615499,13345089.53232787,75120.15348463849,13269969.378843231
0,louisiana,16,0.12638472516427,0.03620131884087999,15291437.078387706,86076.23782114875,15205360.840566557
0,louisiana,17,0.131214316009957,0.041030909686567,17331456.251605902,97559.60427084722,17233896.647335056
0,louisiana,18,0.136286251315088,0.046102844991698005,19473841.72449324,109619.19556521026,19364222.52892803
0,louisiana,19,0.141626671560035,0.051443265236645,21729635.23595885,122317.16618582318,21607318.069773026
0,louisiana,20,0.147258475224322,0.057075068900932,24108509.10375368,135707.96207643504,23972801.14167724
0,louisiana,21,0.153208046241759,0.06302463991836899,26621607.90151906,149854.3165803051,26471753.584938753
0,louisiana,22,0.159503224514104,0.069319818190714,29280691.203757595,164822.4249102426,29115868.77884735
0,louisiana,23,0.166169874450942,0.075986468127552,32096684.137077965,180673.78513156166,31916010.351946402
0,louisiana,24,0.173231181896768,0.083047775573378,35079380.402194865,197463.5264585766,34881916.87573629
0,louisiana,25,0.180708854224162,0.090525447900772,38237949.19328609,215243.2627281446,38022705.930557944
0,louisiana,26,0.188622680023386,0.098439273699996,41580749.21087831,234060.0454692175,41346689.165409096
0,louisiana,27,0.196995715908788,0.106812309585398,45117519.56887212,253968.6966242967,44863550.87224782
0,louisiana,28,0.205846232387894,0.11566282606450401,48855977.7296465,275012.65816183185,48580965.07148466
0,louisiana,29,0.215189215432747,0.125005809109357,52802453.767792396,297227.5623774092,52505226.20541499
0,louisiana,30,0.225034852440047,0.134851446116657,56961250.83967592,320637.63194603653,56640613.20772988
0,louisiana,31,0.235390996995513,0.145207590672123,61335686.29990475,345261.5404170136,60990424.75948773
0,louisiana,32,0.246277855336875,0.156094449013485,65934295.26329606,371147.3323638534,65563147.93093221
0,louisiana,33,0.257703268258544,0.167519861935154,70760389.68140905,398313.65092183504,70362076.03048721
0,louisiana,34,0.269679129361443,0.179495723038053,75818993.41127358,426788.77562480903,75392204.63564877
0,louisiana,35,0.282208724548731,0.19202531822534102,81111494.41838405,456580.5193975756,80654913.89898647
71071,louisiana,6,0.09018340632339,0.0,0.0,0.0,0.0
71071,louisiana,7,0.0926268579005625,0.0024434515771725035,1032113.9461976655,5809.819249558834,1026304.1269481067
